accuracy,f1,precision,recall,model,dataset_type,dataset_size
0.9495454545454546,0.9071129707112972,0.9109243697478993,0.9033333333333332,bert-base-multilingual-uncased,all,large
0.9363636363636364,0.8782608695652174,0.9181818181818182,0.8416666666666667,bert-base-multilingual-uncased,all,medium
0.925,0.8621553884711779,0.864321608040201,0.86,bert-base-multilingual-uncased,all,small
0.9618181818181818,0.9273356401384084,0.9640287769784172,0.8933333333333333,bert-base-multilingual-uncased,chemia,large
0.9490909090909092,0.9078947368421052,0.8961038961038961,0.92,bert-base-multilingual-uncased,chemia,medium
0.9254545454545454,0.8530465949820788,0.9224806201550388,0.7933333333333333,bert-base-multilingual-uncased,chemia,small
0.9409090909090908,0.9010654490106544,0.8291316526610645,0.9866666666666668,bert-base-multilingual-uncased,napoje,large
0.9381818181818182,0.8851351351351352,0.8972602739726028,0.8733333333333333,bert-base-multilingual-uncased,napoje,medium
0.9209090909090908,0.8552412645590682,0.8538205980066446,0.8566666666666667,bert-base-multilingual-uncased,napoje,small
0.9554545454545454,0.9198036006546644,0.9035369774919614,0.9366666666666666,xlm-roberta-base,all,large
0.9390909090909092,0.8856655290102389,0.9073426573426572,0.865,xlm-roberta-base,all,medium
0.8995454545454545,0.8063102541630148,0.8502772643253235,0.7666666666666667,xlm-roberta-base,all,small
0.9618181818181818,0.9283276450511946,0.951048951048951,0.9066666666666666,xlm-roberta-base,chemia,large
0.9154545454545454,0.8622222222222223,0.776,0.97,xlm-roberta-base,chemia,medium
0.9136363636363636,0.8300536672629696,0.8957528957528957,0.7733333333333333,xlm-roberta-base,chemia,small
0.9290909090909092,0.8818181818181818,0.8083333333333333,0.97,xlm-roberta-base,napoje,large
0.9363636363636364,0.890625,0.8382352941176471,0.95,xlm-roberta-base,napoje,medium
0.9063636363636364,0.835725677830941,0.8012232415902141,0.8733333333333333,xlm-roberta-base,napoje,small
